Anti-Bacterial,Bacterial,0.002,0.004,0.008,0.016,0.03,0.06,0.125,0.25,0.5,1,2,4,8,16,32,64,128,256,512,Distributions,Observations,(T)ECOFF,Confidence interval
Minocycline,Acinetobacter baumannii,0,0,0,0,0,0,0,0,30,7,18,15,22,8,0,0,0,0,0,1,100,-,
Minocycline,Enterobacter agglomerans,0,0,0,0,0,0,0,16,83,22,4,1,0,0,0,0,0,0,0,1,126,-,
Minocycline,Enterobacter cloacae,0,0,0,0,0,0,0,0,6,17,185,366,128,39,35,23,0,0,0,5,799,16,
Minocycline,Enterobacter dissolvens,0,0,0,0,0,0,0,0,1,3,26,7,0,0,0,0,0,0,0,1,37,-,
Minocycline,Enterococcus faecalis,0,0,0,0,7,23,59,25,0,1,3,4,32,174,226,0,1,0,0,4,555,(0.5),
Minocycline,Enterococcus faecium,0,0,0,0,5,105,59,15,0,0,1,3,19,73,45,0,0,0,0,4,325,(0.5),
Minocycline,Escherichia coli,0,0,0,0,0,0,1,16,212,588,292,113,82,138,48,8,0,0,0,6,1498,4,
Minocycline,Haemophilus influenzae,0,0,0,0,4,12,162,1896,1507,324,57,11,5,0,0,0,0,0,0,11,3978,1,
Minocycline,Klebsiella aerogenes,0,0,0,0,0,0,0,1,1,7,62,30,4,0,4,1,0,0,0,5,110,16,
Minocycline,Klebsiella oxytoca,0,0,0,0,0,0,0,0,4,135,106,24,13,4,4,0,0,0,0,6,290,8,
Minocycline,Klebsiella pneumoniae,0,0,0,0,0,0,2,3,18,106,432,193,60,48,58,18,0,0,0,6,938,8,
Minocycline,Moraxella catarrhalis,0,0,0,0,8,338,1295,64,2,0,0,0,0,0,0,0,0,0,0,4,1707,(0.25),
Minocycline,Morganella morganii,0,0,0,0,0,0,0,0,0,0,16,39,29,23,17,6,0,0,0,5,130,-,
Minocycline,Neisseria meningitidis,0,0,0,0,0,3,14,184,94,5,0,0,0,0,0,0,0,0,0,2,300,-,
Minocycline,Proteus mirabilis,0,0,0,0,0,0,0,0,1,1,3,15,109,347,318,83,0,0,0,5,877,-,
Minocycline,Serratia liquefaciens,0,0,0,0,0,0,0,1,2,12,6,2,0,0,0,0,0,0,0,1,23,-,
Minocycline,Staphylococcus aureus,0,0,0,5,35,535,677,115,6,7,12,16,8,1,0,0,0,0,0,2,1417,-,
Minocycline,Staphylococcus aureus MRSA,0,0,0,0,0,6,300,89,6,0,1,1,1,0,0,0,0,0,0,4,404,(0.5),
Minocycline,Staphylococcus aureus MSSA,0,0,0,0,0,8,419,118,20,3,1,1,1,0,0,0,0,0,0,4,571,(0.5),
Minocycline,Staphylococcus coagulase negative,0,0,0,0,0,50,58,51,43,4,2,1,0,0,0,0,0,0,0,2,209,-,
Minocycline,Staphylococcus coagulase negative MRSE,0,0,0,0,0,49,133,123,187,22,7,2,0,3,2,0,0,0,0,4,528,-,
Minocycline,Staphylococcus epidermidis,0,0,0,0,0,63,98,98,108,5,4,0,0,0,0,0,0,0,0,3,376,-,
